normalized_text;aspect
tetapi  memang serius untuk kalian yang tidak setuju program ini mencoba deh kalian turut turun di lapangan saya sebagai guru setiap tim mbg datang anak anak saya antusias luar biasa menunggu kedatangannya program presiden ini baik sebenarnya hanya saja terkadang adanya pihak yang menyalahgunakan;Pelaksanaan Program di Sekolah
terus yang menghujat makanan bergizi adalah orang yang pada dasarnya memiliki uang gaya hedonisme liburan kepada luar negeri mereka tidak melihat yang seperti ini memprihatinkan sekali;Pelaksanaan Program di Sekolah
makan yang lezat ya adik itu hasil kami melawan anak abah;Pelaksanaan Program di Sekolah
tolong ya yang di bagian dapur yang untuk memasak makanan ini untuk semua mua wilayah jangan adanya mengorupsi dana memberikan yang terbaik memberi buah juga jangan pelit jangan makanan basi yang di memberikan karena nanti yang terkena nama buruk juga bapak prabowo bukan kalian oke;Pelaksanaan Program di Sekolah
di lingkungan teman ahli gizi saya banyak yang menghujat saya karena saya menjadi  ahli gizi mbg mereka mengatakan menu mbg sangat jauh dari kata ideal padahal mereka tidak mengetahui yang seperti begini mbg bukan untuk anak ibu untuk anak yang membutuhkan;Pelaksanaan Program di Sekolah
eh ternyata warga tiktok lebih manusiawi dibandingkan  instagram wkwkwkkw;Pelaksanaan Program di Sekolah
kalau tepat sasaran seperti ini ikhlas pembayaran pajaknya;Dukungan terhadap Program
ini lihat orang bersyukur tidak seperti kalian yang mendang lebih baik lah;Pelaksanaan Program di Sekolah
terima kasih bapak prabowo sehat-sehat ya bapak;Dukungan terhadap Program
sederhana tetapi  yang pembenci pasti panas;Ketidaksetujuan dan Risiko Program
ingin uang pajak jutaan triliun  kalau bukan prabowo tidak akan diberikan nya mereka makanlah siang gratis sepiring pun jelas ini program prabowo fakta tidak terbantahkan mbg adalah tentang prabowo;Dukungan terhadap Program
ini yang di namakn dari rakyat untuk rakyat;Ketidaksetujuan dan Risiko Program
apa pun yang pemerintah untuk itu semua untuk kebaikan untuk semua nya pasti adanya ditambah kekurangannya tetapi  pasti pemerintah menginginkan yang terbaik untuk rakyat nya;Ketidaksetujuan dan Risiko Program
kita saja yang dewasa senang kalau pelatihan adanya makanlah siang apalagi anak anak bersekolah program makanlah gratis investasi masa depan;Pelaksanaan Program di Sekolah
yang di pelosok sangat antusias dan bersyukur sedangkan yang di kota tidak puas meminta ayam katsu;Dukungan terhadap Program
makanlah yang nikmat ya Anak ini hasil ibu ibu bertarung kuat melawan anak abah;Pelaksanaan Program di Sekolah
nah begini lebih baik diutamakan yang dipelosok-pelosok;Dukungan terhadap Program
makanlah yang kenyang ya adik semoga masa depan kalian cerah;Pelaksanaan Program di Sekolah
program ini sangat baik padahal tetapi banyak yang mencela melihat mereka sesenang itu diberikan makanan semoga anak anak bangsa sehat semua ya allah;Dukungan terhadap Program
tidak berhenti bangga sama bapak prabowo;Dukungan terhadap Program
ketika mbg tepat sasaran;Ketidaksetujuan dan Risiko Program
hanya bapak prabowo dan hanya bapak prabowo yang memikirkan keadaan indonesia yang sebenarnya ya allah berikanlah bapak prabowo umur panjang sampai akhir dunia sampai kiamat bapak prabowo menjadi  presiden tidak adanya yang tidak mungkin kalau engkau yang berkehendak amin;Dukungan terhadap Program
guru di pelosok ternyata lebih cerdas dan manusiawi mereka juga lebih pandai bersyukur;Dukungan terhadap Program
dahulu siapa yang mengatakan makanlah gratis tidak penting;Pelaksanaan Program di Sekolah
adik belajar yang rajin ya;Pelaksanaan Program di Sekolah
bapak anak saya di bekasi belum mendapat tetapi  saya ikhlas kalau pun tidak mendapat memberikan yang di luar kota saja papua maluku nusa tenggara atau manapun tidak apa-apa;Dukungan terhadap Program
kata bapak saya menginginkan memberi makanlah anak-anak indonesia salahnya di mana bapak salahnya adalah banyak anak-anak di kota tidak sama-sama bersyukur ingin nya ini itu padahal mereka sangat senang dengan adanya nya program ini;Pelaksanaan Program di Sekolah
program ini lebih masuk kepada pelosok anak-anak di kota pada tidak beryukur ingin nya camilan seblak saat makanlah siang;Pelaksanaan Program di Sekolah
di balik banyak kejadian makanan yang terbuang lihat lah mereka betapa berharganya mendapat makanan seperti ini jangan sampai terkecoh dengan anak-anak ibu yang tidak menyukai makanan ini banyak-banyak lah bersyukur karena anak anak tinggal makanlah;Pelaksanaan Program di Sekolah
ya allah berkah sehat-sehat bapak prabowo terima kasih telah adanya program mbg walaupun ada yang mengeluh ini itu kenyataannya mbg sangat-sangat dibutuhkan melihat dampaknya melihat hei;Dukungan terhadap Program
ini alasan bapak prabowo ingin memberantas koruptor di negeri ini agar uang lebih bermanfaat untuk rakyat terutama di pelosok pelosok;Dukungan terhadap Program
saya sebagai relawan mbg bagian pengolahan sangat terharu dan saya bersyukur dengan adanya mbg saya dapat bekerja matur suwun bapak prabowo;Dukungan terhadap Program
makanan seperti begini yang kalian menghina itu bagi mereka orang timur sudah  bersyukur sekali kamu;Pelaksanaan Program di Sekolah
saya ingin penempatan di pelosok indonesia demi melihat tersenyum tulus itu;Pelaksanaan Program di Sekolah
sekali lagi saya tidak pernah menyesal memilih bapak prabowo;Pelaksanaan Program di Sekolah
masyallah banyak yang komentar program ini tidak berguna tetapi  nyataanya sangat-sangat bermanfaat untuk anak-anak yang pelosok-pelosok seperti ini seharusnya orang-orang melihat yang seperti ini jangan hanya berikan komentar yang negatif;Dukungan terhadap Program
blokir pembagian mbg di kota lebih baik prioritaskan pelosok pelosok saja karena mereka pasti menghargainya tidak seperti orang kota;Dukungan terhadap Program
ya allah semoga anak anak indonesia menjadi generasi emas yang baik untuk indonesia di masa depan dan semoga kami sempat melihat anak anak kami semua maju membawa indonesia menjadi negara yang makmur dan tentram amin;Dukungan terhadap Program
hanya orang orang pintar yang mengerti dan paham maksud baik dari bapak prabowo semoga bapak prabowo sehat selalu dan selalu dalam lindungan allah swt;Dukungan terhadap Program
seperti ini masih dihujat bapak prabowo;Pelaksanaan Program di Sekolah
yang menghujat mbg sepertinya yang kalah tender dan tidak di terima bekerja di sppg ya kan;Ketidaksetujuan dan Risiko Program
tidak apa-apa jika anak anak kami yang di sulawesi belum mendapatkan makanan gratis asalkan papua mendapat kami sangat bersyukur atas itu terima kasih bapak presiden keep strong ya guru guru dan adik-adik saya di papua kembangkan terus generasi emas anak anak papua yang berjalan diatas emas;Dukungan terhadap Program
program makanlah gratis ini bagi anak anak orang timur sangat di hargai berbeda sama anak anak barat sering ibu nya mengatakan anak saya kemarin mendapat ayam yang adanya ulat nya rasanya tidak lezat dahulu;Pelaksanaan Program di Sekolah
mereka juga berhak makanlah yang bergizi bersekolah yang nyaman menjadi  berhenti kalau kalian masih mengatakan mbg dan bersekolah rakyat hanya buang-buang anggaran negara kita hidup bukan hanya mengenai keuntungan diri sendiri ini mengenai merasa kemanusiaan menjadi  mohon di mendukung saja agar tepat sasaran bagi yang menerimanya admin salam untuk bapak saya selalu mendukung selama untuk kebaikan program-program bapak;Ketidaksetujuan dan Risiko Program
utamakan mbg di papua dan daerah-daerah pelosok tertinggal baru di jawa;Dukungan terhadap Program
