normalized_text,aspect,sentiment,score,sentiment_int
tetapi  memang serius untuk kalian yang tidak setuju program ini mencoba deh kalian turut turun di lapangan saya sebagai guru setiap tim mbg datang anak anak saya antusias luar biasa menunggu kedatangannya program presiden ini baik sebenarnya hanya saja terkadang adanya pihak yang menyalahgunakan,Pelaksanaan Program di Sekolah,negative,0.7818979024887085,2
terus yang menghujat makanan bergizi adalah orang yang pada dasarnya memiliki uang gaya hedonisme liburan kepada luar negeri mereka tidak melihat yang seperti ini memprihatinkan sekali,Pelaksanaan Program di Sekolah,negative,0.9951674938201904,2
makan yang lezat ya adik itu hasil kami melawan anak abah,Pelaksanaan Program di Sekolah,positive,0.970866858959198,0
tolong ya yang di bagian dapur yang untuk memasak makanan ini untuk semua mua wilayah jangan adanya mengorupsi dana memberikan yang terbaik memberi buah juga jangan pelit jangan makanan basi yang di memberikan karena nanti yang terkena nama buruk juga bapak prabowo bukan kalian oke,Pelaksanaan Program di Sekolah,negative,0.9777487516403198,2
di lingkungan teman ahli gizi saya banyak yang menghujat saya karena saya menjadi  ahli gizi mbg mereka mengatakan menu mbg sangat jauh dari kata ideal padahal mereka tidak mengetahui yang seperti begini mbg bukan untuk anak ibu untuk anak yang membutuhkan,Pelaksanaan Program di Sekolah,negative,0.9942367076873779,2
eh ternyata warga tiktok lebih manusiawi dibandingkan  instagram wkwkwkkw,Pelaksanaan Program di Sekolah,negative,0.9595581293106079,2
kalau tepat sasaran seperti ini ikhlas pembayaran pajaknya,Dukungan terhadap Program,positive,0.9160096049308777,0
ini lihat orang bersyukur tidak seperti kalian yang mendang lebih baik lah,Pelaksanaan Program di Sekolah,negative,0.9503630995750427,2
terima kasih bapak prabowo sehat-sehat ya bapak,Dukungan terhadap Program,positive,0.9113267660140991,0
sederhana tetapi  yang pembenci pasti panas,Ketidaksetujuan dan Risiko Program,negative,0.9940588474273682,2
ingin uang pajak jutaan triliun  kalau bukan prabowo tidak akan diberikan nya mereka makanlah siang gratis sepiring pun jelas ini program prabowo fakta tidak terbantahkan mbg adalah tentang prabowo,Dukungan terhadap Program,negative,0.9657208919525146,2
ini yang di namakn dari rakyat untuk rakyat,Ketidaksetujuan dan Risiko Program,negative,0.5796617269515991,2
apa pun yang pemerintah untuk itu semua untuk kebaikan untuk semua nya pasti adanya ditambah kekurangannya tetapi  pasti pemerintah menginginkan yang terbaik untuk rakyat nya,Ketidaksetujuan dan Risiko Program,positive,0.9373887777328491,0
kita saja yang dewasa senang kalau pelatihan adanya makanlah siang apalagi anak anak bersekolah program makanlah gratis investasi masa depan,Pelaksanaan Program di Sekolah,positive,0.9911337494850159,0
yang di pelosok sangat antusias dan bersyukur sedangkan yang di kota tidak puas meminta ayam katsu,Dukungan terhadap Program,positive,0.9839438199996948,0
makanlah yang nikmat ya Anak ini hasil ibu ibu bertarung kuat melawan anak abah,Pelaksanaan Program di Sekolah,positive,0.8636497259140015,0
nah begini lebih baik diutamakan yang dipelosok-pelosok,Dukungan terhadap Program,negative,0.8080111742019653,2
makanlah yang kenyang ya adik semoga masa depan kalian cerah,Pelaksanaan Program di Sekolah,positive,0.9834977984428406,0
program ini sangat baik padahal tetapi banyak yang mencela melihat mereka sesenang itu diberikan makanan semoga anak anak bangsa sehat semua ya allah,Dukungan terhadap Program,negative,0.8193821310997009,2
tidak berhenti bangga sama bapak prabowo,Dukungan terhadap Program,positive,0.9940035939216614,0
ketika mbg tepat sasaran,Ketidaksetujuan dan Risiko Program,positive,0.9610825181007385,0
hanya bapak prabowo dan hanya bapak prabowo yang memikirkan keadaan indonesia yang sebenarnya ya allah berikanlah bapak prabowo umur panjang sampai akhir dunia sampai kiamat bapak prabowo menjadi  presiden tidak adanya yang tidak mungkin kalau engkau yang berkehendak amin,Dukungan terhadap Program,positive,0.9338392615318298,0
guru di pelosok ternyata lebih cerdas dan manusiawi mereka juga lebih pandai bersyukur,Dukungan terhadap Program,positive,0.991431713104248,0
dahulu siapa yang mengatakan makanlah gratis tidak penting,Pelaksanaan Program di Sekolah,negative,0.9924787282943726,2
adik belajar yang rajin ya,Pelaksanaan Program di Sekolah,positive,0.9716024994850159,0
bapak anak saya di bekasi belum mendapat tetapi  saya ikhlas kalau pun tidak mendapat memberikan yang di luar kota saja papua maluku nusa tenggara atau manapun tidak apa-apa,Dukungan terhadap Program,positive,0.7232189774513245,0
kata bapak saya menginginkan memberi makanlah anak-anak indonesia salahnya di mana bapak salahnya adalah banyak anak-anak di kota tidak sama-sama bersyukur ingin nya ini itu padahal mereka sangat senang dengan adanya nya program ini,Pelaksanaan Program di Sekolah,positive,0.8316748738288879,0
program ini lebih masuk kepada pelosok anak-anak di kota pada tidak beryukur ingin nya camilan seblak saat makanlah siang,Pelaksanaan Program di Sekolah,negative,0.548816442489624,2
di balik banyak kejadian makanan yang terbuang lihat lah mereka betapa berharganya mendapat makanan seperti ini jangan sampai terkecoh dengan anak-anak ibu yang tidak menyukai makanan ini banyak-banyak lah bersyukur karena anak anak tinggal makanlah,Pelaksanaan Program di Sekolah,positive,0.976127564907074,0
ya allah berkah sehat-sehat bapak prabowo terima kasih telah adanya program mbg walaupun ada yang mengeluh ini itu kenyataannya mbg sangat-sangat dibutuhkan melihat dampaknya melihat hei,Dukungan terhadap Program,positive,0.9517878890037537,0
ini alasan bapak prabowo ingin memberantas koruptor di negeri ini agar uang lebih bermanfaat untuk rakyat terutama di pelosok pelosok,Dukungan terhadap Program,positive,0.49913015961647034,0
saya sebagai relawan mbg bagian pengolahan sangat terharu dan saya bersyukur dengan adanya mbg saya dapat bekerja matur suwun bapak prabowo,Dukungan terhadap Program,positive,0.9647286534309387,0
makanan seperti begini yang kalian menghina itu bagi mereka orang timur sudah  bersyukur sekali kamu,Pelaksanaan Program di Sekolah,negative,0.951225757598877,2
saya ingin penempatan di pelosok indonesia demi melihat tersenyum tulus itu,Pelaksanaan Program di Sekolah,neutral,0.930542528629303,1
sekali lagi saya tidak pernah menyesal memilih bapak prabowo,Pelaksanaan Program di Sekolah,positive,0.9904770851135254,0
masyallah banyak yang komentar program ini tidak berguna tetapi  nyataanya sangat-sangat bermanfaat untuk anak-anak yang pelosok-pelosok seperti ini seharusnya orang-orang melihat yang seperti ini jangan hanya berikan komentar yang negatif,Dukungan terhadap Program,negative,0.898149847984314,2
